Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1250,24.000,3001.352,3000.431,3001.102,3001.378,3001.585,3001.775,3001.824,3001.923,3002.101,0.000
1255,12.000,3001.393,3000.426,3001.105,3001.413,3001.682,3001.870,3001.914,3001.937,3001.937,0.000
1260,24.000,3001.427,3000.456,3001.139,3001.496,3001.747,3001.890,3002.078,3002.288,3002.291,0.000
1265,24.000,3001.379,3000.420,3001.140,3001.406,3001.602,3001.815,3001.929,3002.043,3002.145,0.000
1270,12.000,3001.497,3000.489,3001.184,3001.609,3001.795,3001.886,3001.934,3001.982,3001.982,0.000
1275,24.000,3001.427,3000.752,3001.126,3001.472,3001.734,3001.854,3001.985,3002.048,3002.059,0.000
1280,24.000,3001.411,3000.735,3001.071,3001.499,3001.701,3001.896,3001.943,3002.050,3002.123,0.000
1285,12.000,3001.397,3000.712,3001.085,3001.517,3001.671,3001.724,3001.747,3001.851,3001.851,0.000
1290,24.000,3001.465,3000.709,3001.086,3001.528,3001.774,3001.898,3002.158,3002.342,3002.418,0.000
1295,24.000,3001.373,3000.762,3001.087,3001.514,3001.613,3001.736,3001.816,3002.032,3002.043,0.000
1300,12.000,3001.431,3000.739,3001.076,3001.553,3001.756,3001.868,3002.260,3002.369,3002.369,0.000
1305,24.000,3001.498,3000.717,3001.092,3001.589,3001.765,3002.028,3002.115,3002.184,3002.778,0.000
1310,24.000,3001.480,3000.719,3001.157,3001.575,3001.801,3001.977,3002.116,3002.701,3002.745,0.000
1315,12.000,3001.313,3000.724,3001.006,3001.363,3001.621,3001.727,3001.821,3001.920,3001.920,0.000
1320,24.000,3001.342,3000.620,3000.915,3001.482,3001.660,3001.804,3002.056,3002.356,3002.445,0.000
1325,24.000,3001.389,3000.650,3000.902,3001.533,3001.669,3001.918,3002.136,3002.349,3002.892,0.000
1330,12.000,3001.350,3000.662,3000.916,3001.525,3001.623,3001.758,3001.908,3002.066,3002.066,0.000
1335,24.000,3001.366,3000.628,3000.918,3001.496,3001.745,3001.880,3001.941,3002.119,3002.468,0.000
1340,24.000,3001.274,3000.656,3000.906,3001.376,3001.587,3001.716,3001.765,3001.880,3001.930,0.000
1345,12.000,3001.370,3000.717,3000.929,3001.563,3001.685,3001.810,3001.836,3002.042,3002.042,0.000
1350,24.000,3001.459,3000.655,3000.944,3001.603,3001.810,3002.043,3002.229,3002.802,3002.907,0.000
1355,24.000,3001.359,3000.683,3001.049,3001.448,3001.621,3001.883,3001.976,3002.226,3002.590,0.000
1360,12.000,3001.305,3000.708,3000.990,3001.334,3001.629,3001.710,3001.785,3001.875,3001.875,0.000
1365,24.000,3001.364,3000.688,3001.064,3001.362,3001.689,3001.856,3001.968,3002.255,3002.286,0.000
1370,24.000,3001.357,3000.720,3001.095,3001.410,3001.603,3001.817,3002.041,3002.090,3002.120,0.000
1375,12.000,3001.375,3000.718,3001.085,3001.407,3001.677,3001.793,3001.842,3001.876,3001.876,0.000
1380,24.000,3001.423,3000.712,3001.194,3001.420,3001.719,3001.896,3001.986,3002.004,3002.124,0.000
1385,24.000,3001.439,3000.732,3001.134,3001.425,3001.705,3002.032,3002.153,3002.412,3002.545,0.000
1390,12.000,3001.423,3000.672,3001.111,3001.444,3001.725,3001.915,3001.944,3002.062,3002.062,0.000
1395,24.000,3001.447,3000.739,3001.107,3001.506,3001.672,3001.931,3002.171,3002.520,3002.969,0.000
1400,24.000,3001.309,3000.711,3001.073,3001.344,3001.553,3001.664,3001.809,3001.855,3001.857,0.000
1405,12.000,3001.460,3000.751,3001.341,3001.531,3001.621,3001.780,3001.809,3001.879,3001.879,0.000
1410,24.000,3001.500,3000.734,3001.303,3001.550,3001.697,3001.893,3002.156,3002.328,3002.330,0.000
1415,24.000,3001.409,3000.739,3001.115,3001.463,3001.616,3001.852,3001.953,3002.068,3002.223,0.000
1420,12.000,3001.449,3000.679,3001.110,3001.562,3001.687,3001.935,3002.007,3002.196,3002.196,0.000
1425,24.000,3001.420,3000.687,3001.185,3001.478,3001.619,3001.826,3001.893,3002.309,3002.354,0.000
1430,24.000,3001.449,3000.719,3001.181,3001.463,3001.642,3001.953,3002.231,3002.454,3002.456,0.000
1435,12.000,3001.347,3000.725,3001.212,3001.338,3001.599,3001.673,3001.702,3001.803,3001.803,0.000
1440,24.000,3001.427,3000.758,3001.298,3001.491,3001.626,3001.728,3001.798,3001.857,3001.911,0.000
1445,24.000,3001.410,3000.720,3001.234,3001.469,3001.660,3001.714,3001.786,3002.034,3002.167,0.000
1450,12.000,3001.368,3000.766,3001.163,3001.471,3001.593,3001.693,3001.729,3001.744,3001.744,0.000
1455,24.000,3001.444,3000.722,3001.326,3001.496,3001.620,3001.831,3001.949,3002.147,3002.244,0.000
1460,24.000,3001.377,3000.718,3001.204,3001.340,3001.629,3001.772,3001.869,3001.972,3002.178,0.000
1465,12.000,3001.421,3000.679,3001.300,3001.492,3001.659,3001.816,3001.885,3001.953,3001.953,0.000
1470,24.000,3001.401,3000.740,3001.210,3001.437,3001.613,3001.785,3001.869,3001.991,3002.023,0.000
1475,24.000,3001.458,3000.762,3001.319,3001.490,3001.652,3001.785,3001.992,3002.424,3002.424,0.000
1480,12.000,3001.457,3000.755,3001.306,3001.501,3001.695,3001.809,3001.877,3001.917,3001.917,0.000
1485,24.000,3001.487,3000.744,3001.276,3001.562,3001.678,3001.854,3001.953,3002.220,3002.290,0.000
1490,24.000,3001.440,3000.730,3001.256,3001.488,3001.629,3001.861,3002.058,3002.303,3002.332,0.000
1495,12.000,3001.409,3000.724,3001.345,3001.444,3001.584,3001.985,3002.005,3002.101,3002.101,0.000
1500,24.000,3001.480,3000.778,3001.331,3001.558,3001.748,3001.899,3001.950,3002.006,3002.034,0.000
1505,24.000,3001.478,3000.765,3001.298,3001.542,3001.704,3001.846,3001.906,3002.114,3002.122,0.000
1510,12.000,3001.494,3000.743,3001.316,3001.572,3001.695,3001.968,3002.008,3002.188,3002.188,0.000
1515,24.000,3001.627,3000.814,3001.421,3001.630,3001.888,3002.111,3002.251,3002.435,3002.499,0.000
1520,24.000,3001.598,3000.779,3001.371,3001.632,3001.820,3002.001,3002.154,3002.195,3002.318,0.000
1525,12.000,3001.567,3000.943,3001.482,3001.569,3001.663,3001.945,3001.978,3002.028,3002.028,0.000
1530,24.000,3001.610,3000.775,3001.450,3001.602,3001.804,3001.996,3002.053,3002.372,3002.373,0.000
1535,24.000,3001.523,3000.718,3001.334,3001.488,3001.664,3001.943,3002.257,3002.322,3002.342,0.000
1540,12.000,3001.562,3001.039,3001.408,3001.557,3001.676,3001.841,3002.079,3002.550,3002.550,0.000
1545,24.000,3001.486,3000.792,3001.318,3001.486,3001.673,3001.756,3002.012,3002.052,3002.767,0.000
1550,24.000,3001.582,3000.687,3001.347,3001.600,3001.773,3001.982,3002.133,3002.375,3002.379,0.000
1555,12.000,3001.436,3000.850,3001.279,3001.484,3001.634,3001.662,3001.700,3001.832,3001.832,0.000
1560,24.000,3001.599,3000.932,3001.445,3001.624,3001.779,3001.949,3002.081,3002.262,3002.262,0.000
1565,24.000,3001.586,3000.948,3001.489,3001.603,3001.818,3001.972,3002.080,3002.247,3002.701,0.000
1570,12.000,3001.538,3000.994,3001.382,3001.591,3001.656,3001.883,3002.077,3002.132,3002.132,0.000
1575,24.000,3001.668,3000.705,3001.477,3001.672,3001.899,3002.100,3002.200,3002.382,3002.391,0.000
1580,24.000,3001.654,3000.664,3001.434,3001.692,3001.867,3002.045,3002.110,3002.621,3002.734,0.000
1585,12.000,3001.594,3000.699,3001.461,3001.653,3001.862,3001.991,3002.064,3002.097,3002.097,0.000
1590,24.000,3001.626,3000.704,3001.437,3001.747,3001.850,3002.047,3002.164,3002.274,3002.384,0.000
1595,24.000,3001.547,3000.803,3001.376,3001.620,3001.758,3001.880,3002.081,3002.448,3002.464,0.000
1600,12.000,3001.491,3000.723,3001.237,3001.620,3001.779,3001.828,3001.879,3001.938,3001.938,0.000
1605,24.000,3001.569,3000.596,3001.386,3001.677,3001.807,3001.913,3002.088,3002.207,3002.387,0.000
1610,24.000,3001.621,3000.559,3001.519,3001.695,3001.868,3002.003,3002.103,3002.309,3002.330,0.000
1615,12.000,3001.570,3000.733,3001.449,3001.650,3001.806,3001.869,3001.970,3002.428,3002.428,0.000
1620,24.000,3001.593,3000.597,3001.471,3001.652,3001.837,3001.904,3002.067,3002.578,3002.608,0.000
1625,24.000,3001.568,3000.726,3001.346,3001.620,3001.743,3001.911,3002.066,3002.168,3002.256,0.000
1630,12.000,3001.596,3001.042,3001.429,3001.627,3001.782,3001.939,3001.949,3002.083,3002.083,0.000
1635,24.000,3001.778,3001.106,3001.649,3001.788,3001.944,3002.084,3002.190,3002.648,3002.672,0.000
1640,24.000,3001.597,3001.023,3001.459,3001.643,3001.747,3001.848,3001.904,3002.309,3002.431,0.000
1645,12.000,3001.803,3001.114,3001.623,3001.792,3002.006,3002.249,3002.413,3002.495,3002.495,0.000
1650,24.000,3001.721,3001.102,3001.624,3001.722,3001.844,3002.049,3002.100,3002.271,3002.466,0.000
1655,24.000,3001.676,3001.059,3001.563,3001.685,3001.802,3002.025,3002.133,3002.322,3002.543,0.000
1660,12.000,3001.727,3001.104,3001.479,3001.604,3001.927,3002.434,3002.576,3002.642,3002.642,0.000
1665,24.000,3001.614,3000.797,3001.461,3001.621,3001.764,3002.034,3002.119,3002.133,3002.152,0.000
1670,24.000,3001.502,3000.823,3001.279,3001.573,3001.692,3001.919,3001.984,3002.048,3002.071,0.000
1675,12.000,3001.480,3000.761,3001.266,3001.451,3001.673,3001.919,3001.932,3002.076,3002.076,0.000
1680,24.000,3001.614,3000.719,3001.491,3001.611,3001.760,3001.898,3002.053,3002.647,3002.710,0.000
1685,24.000,3001.557,3000.689,3001.405,3001.594,3001.729,3001.913,3002.036,3002.420,3002.430,0.000
1690,12.000,3001.632,3000.850,3001.526,3001.637,3001.775,3001.943,3002.011,3002.057,3002.057,0.000
1695,24.000,3001.576,3000.767,3001.479,3001.566,3001.720,3001.847,3001.945,3002.057,3002.136,0.000
1700,24.000,3001.478,3000.715,3001.331,3001.561,3001.695,3001.825,3001.922,3002.098,3002.107,0.000
1705,12.000,3001.470,3000.658,3000.965,3001.617,3001.862,3002.112,3002.175,3002.276,3002.276,0.000
1710,24.000,3001.416,3000.635,3000.935,3001.585,3001.763,3001.945,3001.967,3002.162,3002.556,0.000
1715,24.000,3001.367,3000.662,3000.950,3001.530,3001.666,3001.832,3001.970,3002.199,3002.199,0.000
1720,12.000,3001.302,3000.704,3000.932,3001.440,3001.589,3001.688,3001.834,3002.029,3002.029,0.000
1725,24.000,3001.376,3000.695,3000.962,3001.494,3001.705,3001.854,3001.915,3002.130,3002.154,0.000
1730,24.000,3001.419,3000.707,3001.186,3001.480,3001.666,3001.771,3001.918,3002.396,3002.489,0.000
1735,12.000,3001.548,3000.683,3001.308,3001.530,3001.733,3002.222,3002.327,3002.528,3002.528,0.000
1740,24.000,3001.490,3000.765,3001.213,3001.537,3001.766,3001.936,3001.975,3002.040,3002.070,0.000
1745,24.000,3001.557,3000.899,3001.419,3001.557,3001.743,3001.855,3002.023,3002.307,3002.307,0.000
1750,12.000,3001.560,3001.092,3001.396,3001.593,3001.719,3001.850,3001.919,3002.063,3002.063,0.000
1755,24.000,3001.661,3001.073,3001.516,3001.659,3001.776,3001.930,3002.322,3002.484,3002.489,0.000
1760,24.000,3001.778,3001.139,3001.504,3001.656,3001.966,3002.280,3002.560,3003.534,3003.801,0.000
1765,12.000,3001.683,3001.024,3001.551,3001.678,3001.837,3002.058,3002.266,3002.416,3002.416,0.000
1770,24.000,3001.623,3000.909,3001.456,3001.612,3001.806,3002.055,3002.210,3002.314,3002.408,0.000
1775,24.000,3001.594,3000.749,3001.383,3001.652,3001.787,3001.961,3002.213,3002.260,3002.346,0.000
1780,12.000,3001.565,3000.830,3001.422,3001.599,3001.731,3001.848,3001.978,3002.289,3002.289,0.000
1785,24.000,3001.652,3000.751,3001.509,3001.632,3001.826,3001.995,3002.149,3002.368,3002.491,0.000
1790,24.000,3001.888,3001.065,3001.724,3001.881,3002.066,3002.268,3002.630,3002.725,3002.762,0.000
1795,12.000,3001.820,3001.141,3001.647,3001.810,3001.968,3002.162,3002.418,3002.911,3002.911,0.000
1800,24.000,3001.658,3001.030,3001.495,3001.716,3001.830,3001.940,3002.027,3002.227,3002.269,0.000
1805,24.000,3001.679,3001.104,3001.542,3001.697,3001.852,3001.931,3002.037,3002.175,3002.184,0.000
1810,12.000,3001.763,3001.016,3001.578,3001.804,3001.990,3002.133,3002.240,3002.305,3002.305,0.000
1815,24.000,3001.710,3000.976,3001.520,3001.720,3001.909,3002.112,3002.320,3002.638,3002.720,0.000
1820,24.000,3001.690,3000.973,3001.487,3001.690,3001.915,3002.123,3002.172,3002.457,3002.529,0.000
1825,12.000,3001.718,3000.923,3001.519,3001.692,3001.935,3002.264,3002.285,3002.337,3002.337,0.000
1830,24.000,3001.729,3001.210,3001.604,3001.711,3001.812,3001.990,3002.227,3002.491,3002.615,0.000
1835,24.000,3001.570,3000.790,3001.444,3001.560,3001.736,3001.998,3002.129,3002.272,3002.278,0.000
1840,12.000,3001.551,3000.948,3001.409,3001.519,3001.660,3001.824,3001.983,3002.318,3002.318,0.000
1845,24.000,3001.663,3000.993,3001.479,3001.644,3001.781,3002.088,3002.205,3002.280,3002.358,0.000
1850,24.000,3001.738,3001.379,3001.613,3001.731,3001.843,3001.961,3002.091,3002.164,3002.501,0.000
1855,12.000,3001.683,3001.113,3001.546,3001.656,3001.776,3002.034,3002.294,3002.544,3002.544,0.000
1860,24.000,3001.709,3001.256,3001.601,3001.679,3001.777,3001.919,3002.269,3002.489,3002.517,0.000
1865,24.000,3001.704,3001.178,3001.579,3001.699,3001.842,3001.990,3002.131,3002.288,3002.643,0.000
1870,12.000,3001.810,3001.412,3001.682,3001.797,3001.892,3002.076,3002.148,3002.435,3002.435,0.000
1875,24.000,3001.748,3001.222,3001.563,3001.759,3001.898,3002.039,3002.235,3002.322,3002.432,0.000
1880,24.000,3001.689,3001.122,3001.476,3001.669,3001.890,3001.986,3002.126,3002.550,3002.612,0.000
1885,12.000,3001.800,3001.075,3001.650,3001.797,3001.953,3002.129,3002.336,3002.578,3002.578,0.000
1890,24.000,3001.632,3000.957,3001.460,3001.632,3001.759,3001.954,3002.176,3002.324,3002.495,0.000
1895,24.000,3001.707,3000.976,3001.521,3001.721,3001.845,3002.168,3002.274,3002.376,3002.451,0.000
1900,12.000,3001.684,3000.853,3001.562,3001.679,3001.949,3002.160,3002.222,3002.395,3002.395,0.000
1905,24.000,3001.705,3000.983,3001.611,3001.767,3001.876,3001.931,3001.974,3002.011,3002.085,0.000
1910,24.000,3001.701,3001.042,3001.580,3001.761,3001.861,3001.943,3002.092,3002.223,3002.369,0.000
1915,12.000,3001.746,3000.950,3001.642,3001.732,3001.887,3002.021,3002.039,3002.124,3002.124,0.000
1920,24.000,3001.694,3001.197,3001.562,3001.663,3001.841,3002.025,3002.159,3002.505,3002.520,0.000
1925,24.000,3001.604,3001.047,3001.374,3001.617,3001.767,3001.989,3002.031,3002.246,3002.311,0.000
1930,12.000,3001.489,3001.035,3001.333,3001.458,3001.623,3001.852,3001.892,3002.150,3002.150,0.000
1935,24.000,3001.626,3001.113,3001.428,3001.619,3001.803,3001.989,3002.065,3002.201,3002.289,0.000
1940,24.000,3001.690,3001.012,3001.549,3001.714,3001.858,3001.982,3002.124,3002.210,3002.214,0.000
1945,12.000,3001.612,3001.116,3001.430,3001.660,3001.769,3001.874,3001.909,3001.986,3001.986,0.000
1950,24.000,3001.693,3000.913,3001.542,3001.763,3001.886,3001.961,3002.042,3002.125,3002.190,0.000
1955,24.000,3001.722,3001.232,3001.578,3001.729,3001.899,3002.029,3002.233,3002.445,3002.454,0.000
1960,12.000,3001.790,3001.296,3001.602,3001.823,3001.984,3002.140,3002.205,3002.300,3002.300,0.000
1965,24.000,3001.667,3000.938,3001.486,3001.722,3001.861,3001.999,3002.034,3002.134,3002.206,0.000
1970,24.000,3001.613,3000.916,3001.467,3001.664,3001.871,3001.956,3002.021,3002.100,3002.150,0.000
1975,12.000,3001.604,3001.114,3001.448,3001.572,3001.753,3001.842,3001.958,3002.094,3002.094,0.000
1980,24.000,3001.709,3001.112,3001.534,3001.770,3001.886,3001.989,3002.061,3002.363,3002.504,0.000
1985,24.000,3001.645,3000.974,3001.402,3001.668,3001.810,3002.012,3002.279,3002.603,3002.628,0.000
1990,12.000,3001.590,3000.911,3001.283,3001.638,3001.865,3002.064,3002.106,3002.183,3002.183,0.000
1995,24.000,3001.610,3000.868,3001.480,3001.684,3001.788,3001.962,3002.019,3002.168,3002.172,0.000
2000,24.000,3001.632,3000.868,3001.481,3001.616,3001.846,3001.990,3002.032,3002.686,3002.752,0.000
2005,12.000,3001.723,3001.159,3001.578,3001.741,3001.911,3002.033,3002.177,3002.301,3002.301,0.000
2010,24.000,3001.636,3000.949,3001.514,3001.660,3001.799,3001.996,3002.057,3002.480,3002.631,0.000
2015,24.000,3001.717,3001.110,3001.537,3001.698,3001.899,3002.115,3002.249,3002.553,3002.692,0.000
2020,12.000,3001.692,3001.270,3001.479,3001.683,3001.911,3002.022,3002.127,3002.183,3002.183,0.000
2025,24.000,3001.726,3000.902,3001.554,3001.792,3001.922,3002.006,3002.056,3002.197,3002.520,0.000
2030,24.000,3001.722,3001.129,3001.611,3001.705,3001.932,3002.027,3002.094,3002.244,3002.335,0.000
2035,12.000,3001.827,3001.266,3001.602,3001.775,3001.883,3002.448,3002.806,3002.980,3002.980,0.000
2040,24.000,3002.201,3000.939,3001.502,3001.690,3001.909,3002.162,3010.848,3010.891,3011.412,0.000
2045,24.000,3001.531,3000.860,3001.314,3001.602,3001.720,3001.868,3001.940,3002.330,3002.358,0.000
2050,12.000,3001.524,3000.854,3001.257,3001.585,3001.832,3001.901,3001.958,3002.092,3002.092,0.000
2055,24.000,3001.553,3000.881,3001.457,3001.633,3001.725,3001.835,3001.900,3002.035,3002.079,0.000
2060,24.000,3001.573,3000.891,3001.400,3001.645,3001.753,3001.943,3002.032,3002.280,3002.308,0.000
2065,12.000,3001.646,3000.897,3001.532,3001.738,3001.906,3001.983,3002.006,3002.110,3002.110,0.000
2070,24.000,3001.673,3000.882,3001.527,3001.779,3001.922,3002.099,3002.257,3002.355,3002.371,0.000
2075,24.000,3001.647,3000.794,3001.498,3001.688,3001.846,3002.097,3002.496,3002.567,3002.646,0.000
2080,12.000,3001.572,3000.791,3001.496,3001.639,3001.833,3001.991,3002.029,3002.099,3002.099,0.000
2085,24.000,3001.628,3000.865,3001.523,3001.679,3001.842,3001.979,3002.043,3002.195,3002.325,0.000
2090,24.000,3001.620,3001.045,3001.445,3001.628,3001.816,3001.950,3002.095,3002.160,3002.262,0.000
2095,12.000,3001.675,3001.057,3001.534,3001.723,3001.832,3001.955,3002.071,3002.285,3002.285,0.000
2100,24.000,3001.751,3001.104,3001.561,3001.819,3001.964,3002.084,3002.185,3002.355,3002.357,0.000
2105,24.000,3001.652,3001.054,3001.486,3001.623,3001.844,3002.040,3002.193,3002.288,3002.460,0.000
2110,12.000,3001.548,3001.048,3001.412,3001.553,3001.727,3001.831,3001.933,3001.961,3001.961,0.000
2115,24.000,3001.690,3001.107,3001.494,3001.723,3001.860,3002.039,3002.242,3002.393,3002.466,0.000
2120,24.000,3001.810,3000.843,3001.608,3001.833,3002.048,3002.317,3002.384,3002.429,3002.525,0.000
2125,12.000,3001.609,3001.236,3001.458,3001.617,3001.799,3001.869,3001.975,3002.031,3002.031,0.000
2130,24.000,3001.693,3001.155,3001.524,3001.717,3001.891,3002.044,3002.171,3002.431,3002.496,0.000
2135,24.000,3001.657,3000.850,3001.479,3001.656,3001.841,3002.065,3002.151,3002.421,3002.433,0.000
2140,12.000,3001.683,3001.041,3001.483,3001.664,3001.923,3002.183,3002.245,3002.376,3002.376,0.000
2145,24.000,3001.690,3001.071,3001.542,3001.700,3001.868,3001.973,3002.085,3002.219,3002.235,0.000
2150,24.000,3001.704,3000.955,3001.497,3001.765,3001.915,3002.005,3002.093,3002.474,3002.842,0.000
2155,12.000,3001.599,3000.872,3001.387,3001.637,3001.842,3001.960,3002.058,3002.134,3002.134,0.000
2160,24.000,3001.702,3000.803,3001.527,3001.727,3001.933,3002.036,3002.110,3002.214,3002.381,0.000
2165,24.000,3001.662,3000.825,3001.587,3001.682,3001.808,3001.899,3002.214,3002.261,3002.391,0.000
2170,12.000,3001.654,3000.790,3001.488,3001.735,3001.985,3002.025,3002.079,3002.128,3002.128,0.000
2175,24.000,3001.700,3001.109,3001.570,3001.724,3001.856,3001.945,3002.066,3002.230,3002.296,0.000
2180,24.000,3001.692,3000.735,3001.623,3001.711,3001.875,3001.979,3002.024,3002.171,3002.183,0.000
2185,12.000,3001.676,3000.776,3001.527,3001.715,3001.851,3001.978,3002.049,3002.126,3002.126,0.000
2190,24.000,3001.632,3000.772,3001.515,3001.642,3001.784,3001.897,3001.987,3002.326,3002.531,0.000
2195,24.000,3001.700,3000.738,3001.573,3001.676,3001.872,3001.972,3002.152,3002.493,3002.499,0.000
2200,12.000,3001.586,3000.769,3001.372,3001.542,3001.828,3002.060,3002.226,3002.281,3002.281,0.000
2205,24.000,3001.625,3000.744,3001.445,3001.676,3001.836,3001.955,3002.112,3002.394,3002.561,0.000
2210,24.000,3001.723,3000.762,3001.543,3001.749,3001.978,3002.096,3002.241,3002.376,3002.398,0.000
2215,12.000,3001.631,3000.776,3001.491,3001.668,3001.773,3001.893,3002.022,3002.085,3002.085,0.000
2220,24.000,3001.684,3000.771,3001.509,3001.691,3001.900,3002.144,3002.365,3002.599,3002.642,0.000
2225,24.000,3001.579,3000.738,3001.415,3001.590,3001.755,3001.895,3001.990,3002.413,3002.467,0.000
2230,12.000,3001.607,3000.943,3001.506,3001.643,3001.800,3001.871,3001.917,3002.253,3002.253,0.000
2235,24.000,3001.638,3000.953,3001.488,3001.680,3001.797,3001.944,3002.124,3002.211,3002.458,0.000
2240,24.000,3001.669,3001.031,3001.552,3001.711,3001.846,3001.966,3002.035,3002.268,3002.506,0.000
2245,12.000,3001.683,3001.127,3001.613,3001.718,3001.833,3001.922,3001.939,3001.977,3001.977,0.000
2250,24.000,3001.588,3001.086,3001.428,3001.587,3001.743,3001.848,3001.950,3002.078,3002.227,0.000
2255,24.000,3001.675,3001.065,3001.556,3001.705,3001.867,3001.969,3002.034,3002.188,3002.213,0.000
2260,12.000,3001.703,3000.952,3001.629,3001.745,3001.833,3001.927,3002.010,3002.113,3002.113,0.000
2265,24.000,3001.627,3000.954,3001.355,3001.703,3001.878,3001.990,3002.082,3002.130,3002.221,0.000
2270,24.000,3001.677,3000.999,3001.500,3001.701,3001.875,3002.073,3002.149,3002.351,3002.352,0.000
2275,12.000,3001.690,3001.011,3001.559,3001.690,3001.887,3002.074,3002.267,3002.357,3002.357,0.000
2280,24.000,3001.695,3000.963,3001.564,3001.664,3001.892,3002.010,3002.084,3002.168,3002.347,0.000
2285,24.000,3001.683,3000.757,3001.483,3001.676,3001.847,3002.127,3002.254,3002.446,3002.485,0.000
2290,12.000,3001.628,3000.720,3001.497,3001.674,3001.897,3002.023,3002.135,3002.175,3002.175,0.000
2295,24.000,3001.651,3000.761,3001.522,3001.748,3001.861,3001.958,3002.033,3002.085,3002.088,0.000
2300,24.000,3001.684,3000.838,3001.575,3001.732,3001.884,3002.029,3002.063,3002.214,3002.363,0.000
2305,12.000,3001.613,3000.753,3001.511,3001.704,3001.835,3001.884,3002.003,3002.125,3002.125,0.000
2310,24.000,3001.649,3000.742,3001.545,3001.673,3001.827,3002.011,3002.071,3002.208,3002.275,0.000
2315,24.000,3001.606,3000.735,3001.445,3001.673,3001.808,3001.951,3002.043,3002.188,3002.293,0.000
2320,12.000,3001.598,3000.758,3001.480,3001.651,3001.802,3001.877,3002.012,3002.323,3002.323,0.000
2325,24.000,3001.668,3000.719,3001.570,3001.720,3001.852,3001.945,3001.991,3002.245,3002.255,0.000
2330,24.000,3001.691,3000.756,3001.599,3001.724,3001.851,3001.952,3002.037,3002.064,3002.212,0.000
2335,12.000,3001.597,3000.753,3001.515,3001.675,3001.804,3001.907,3002.180,3002.239,3002.239,0.000
2340,24.000,3001.625,3000.724,3001.489,3001.627,3001.798,3002.004,3002.072,3002.282,3002.462,0.000
2345,24.000,3001.693,3000.725,3001.612,3001.715,3001.859,3001.950,3002.016,3002.382,3002.430,0.000
2350,12.000,3001.649,3000.728,3001.494,3001.724,3001.871,3001.942,3002.028,3002.042,3002.042,0.000
2355,24.000,3001.688,3000.776,3001.586,3001.708,3001.850,3002.057,3002.158,3002.355,3002.355,0.000
2360,24.000,3001.701,3000.853,3001.554,3001.725,3001.892,3002.034,3002.262,3002.322,3002.495,0.000
2365,12.000,3001.795,3001.068,3001.608,3001.812,3001.997,3002.129,3002.191,3002.612,3002.612,0.000
2370,24.000,3001.745,3001.017,3001.625,3001.779,3001.947,3002.029,3002.076,3002.194,3002.258,0.000
2375,24.000,3001.633,3000.963,3001.455,3001.697,3001.801,3001.945,3002.080,3002.275,3002.284,0.000
2380,12.000,3001.749,3001.119,3001.627,3001.770,3001.869,3002.044,3002.133,3002.241,3002.241,0.000
2385,24.000,3001.729,3001.086,3001.590,3001.728,3001.888,3002.069,3002.173,3002.284,3002.449,0.000
2390,24.000,3001.726,3001.090,3001.540,3001.699,3001.920,3002.145,3002.324,3002.450,3002.585,0.000
2395,12.000,3001.669,3001.037,3001.508,3001.644,3001.883,3002.119,3002.159,3002.316,3002.316,0.000
2400,24.000,3001.614,3000.933,3001.420,3001.656,3001.849,3001.929,3001.988,3002.266,3002.405,0.000
2405,24.000,3001.758,3001.039,3001.616,3001.760,3001.962,3002.099,3002.238,3002.394,3002.503,0.000
2410,12.000,3001.856,3000.861,3001.462,3001.835,3002.200,3003.039,3003.090,3003.139,3003.139,0.000
2415,24.000,3001.721,3001.087,3001.615,3001.699,3001.839,3002.096,3002.154,3002.415,3002.458,0.000
2420,24.000,3001.597,3000.941,3001.443,3001.641,3001.779,3001.941,3002.018,3002.088,3002.129,0.000
2425,12.000,3001.703,3001.269,3001.550,3001.699,3001.881,3001.985,3002.153,3002.182,3002.182,0.000
2430,24.000,3001.674,3000.966,3001.516,3001.678,3001.853,3001.989,3002.027,3002.058,3002.296,0.000
2435,24.000,3001.769,3001.038,3001.592,3001.782,3002.030,3002.269,3002.452,3002.533,3002.566,0.000
2440,12.000,3001.901,3000.914,3001.609,3001.787,3002.253,3002.702,3003.068,3003.177,3003.177,0.000
2445,24.000,3001.730,3000.754,3001.519,3001.734,3001.870,3002.190,3002.755,3003.057,3003.062,0.000
2450,24.000,3001.624,3000.770,3001.440,3001.661,3001.849,3001.959,3001.994,3002.097,3002.383,0.000
2455,12.000,3001.682,3000.843,3001.627,3001.682,3001.975,3002.092,3002.158,3002.603,3002.603,0.000
2460,24.000,3001.668,3001.045,3001.434,3001.600,3001.820,3002.132,3002.498,3002.829,3003.151,0.000
2465,24.000,3001.738,3001.149,3001.480,3001.697,3001.961,3002.226,3002.340,3002.414,3002.872,0.000
2470,12.000,3001.641,3000.993,3001.536,3001.654,3001.818,3001.925,3001.961,3002.092,3002.092,0.000
2475,24.000,3001.674,3000.939,3001.493,3001.692,3001.892,3001.982,3002.061,3002.359,3002.491,0.000
2480,24.000,3001.593,3000.937,3001.375,3001.605,3001.834,3001.965,3002.106,3002.173,3002.307,0.000
