Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
320,1002.000,59.001,0.109,1.891,2.867,52.302,141.701,258.947,827.047,1631.793,0.017
325,852.400,68.981,0.108,1.876,3.547,61.862,184.830,337.901,837.345,3309.704,0.014
330,835.000,70.467,0.109,1.862,3.073,58.787,198.364,394.812,827.305,2374.403,0.014
335,965.600,62.773,0.109,1.853,3.960,46.222,184.768,336.587,770.027,1484.174,0.016
340,1160.200,51.847,0.111,1.862,3.194,42.160,149.611,255.372,601.739,2211.196,0.019
345,704.800,87.187,0.107,1.873,4.940,91.442,277.040,468.096,826.327,1819.321,0.011
350,810.200,70.425,0.111,1.894,5.750,68.142,214.270,376.566,710.734,1272.795,0.014
355,630.800,95.303,0.108,1.885,3.637,99.654,301.868,524.291,943.315,2045.007,0.010
360,846.600,70.409,0.107,1.890,2.797,63.235,188.846,347.004,871.453,1883.236,0.014
365,886.600,68.445,0.106,1.898,3.627,58.275,163.900,333.623,880.550,2392.203,0.015
370,1005.000,59.840,0.107,1.831,2.595,40.175,160.303,322.365,750.699,1914.170,0.017
375,675.800,92.296,0.107,1.830,2.938,73.296,269.626,502.452,1258.326,1830.401,0.011
380,678.000,92.869,0.106,1.860,5.168,59.859,224.125,411.910,1363.351,2903.316,0.011
385,685.400,81.940,0.108,1.850,3.671,73.864,269.333,419.059,862.311,1867.470,0.012
390,547.400,106.856,0.106,1.877,5.603,68.885,282.986,569.280,1485.791,2510.636,0.009
395,699.400,88.891,0.107,1.858,4.811,64.978,235.583,508.491,1168.115,1850.026,0.011
400,680.200,85.680,0.107,1.834,4.777,92.990,226.209,425.497,972.530,2420.746,0.012
405,515.000,119.265,0.110,1.807,2.395,77.233,345.440,700.510,1477.876,3143.303,0.008
410,898.000,65.033,0.109,1.875,2.793,61.520,201.638,310.879,734.155,1620.640,0.015
415,663.800,96.382,0.109,1.845,4.463,86.552,288.010,515.486,1075.330,2411.915,0.010
